CH2+
CH3+
C2H3+
C3H5+
C4H7+
C6H5+
C4H7O+
C5H11+
C8H19PNO4+
C27H45+
C27H45O+
C29H50O2+
Na+
K+
Ca+
Mg+
Al+
Si+
NaCl+
KNa+
Na2O+
Na2OH+
NaO3H+
KNaOH+
Na2Cl+
K2NaSO4+
C2-
C3-
CH-
CH2-
C2H4-
C4H-
C2H3SO2-
C16H31O2?
C18H33O2?
C18H35O2?
C27H45O?
C29H49O2-
Cl-
SO-
NaCl-
SO2-
SO3-
NaCl2-
SO4H-
NaSO4-
