Au+
Au_3+
Au-
Au2-
Au3-
In+
In2+
In2O+
In3O+
InO-
InO2-
InO3-
In2O2-
In2O3-
In2O4-
In3O3-
In3O4-
In4O4-
In4O5-
O2-
SiO2-
SiO3-
HSiO3-
